コード,名称,大分類,中分類,分類
1,総合通販,,,大分類
2,ショッピングモール,1,,中分類
3,百貨店・デパート,1,,中分類
4,健康,,,大分類
5,医療,4,,中分類
6,機器・器具,4,5,小分類
7,医薬品,4,5,小分類
8,クリニック・病院,4,5,小分類
9,健康グッズ,4,,中分類
10,筋トレ・ストレッチ,4,9,小分類
11,骨盤矯正,4,9,小分類
12,デンタルケア,4,9,小分類
13,健康食品,4,,中分類
14,サプリ・食品,4,13,小分類
15,栄養ドリンク・ゼリー,4,13,小分類
16,健康茶・青汁,4,13,小分類
17,その他（健康）,4,,中分類
18,美容,,,大分類
19,エステ,18,,中分類
20,エステ（総合）,18,19,小分類
21,脱毛（エステ）,18,19,小分類
22,痩身,18,19,小分類
23,フェイシャル,18,19,小分類
24,メンズエステ,18,19,小分類
25,コスメ・メイク,18,,中分類
26,ポイントメイク・ケア,18,25,小分類
27,ファンデーション・パウダー,18,25,小分類
28,スキンケア,18,,中分類
29,洗顔・石鹸・クレンジング,18,28,小分類
30,オールインワン,18,28,小分類
31,パック・マスク,18,28,小分類
32,基礎化粧品,18,28,小分類
33,美容液,18,28,小分類
34,ダイエット,18,,中分類
35,ジム,18,34,小分類
36,用品・グッズ,18,34,小分類
37,サプリ・ゼリー,18,34,小分類
38,ドリンク・スムージー,18,34,小分類
39,食事・おやつ,18,34,小分類
40,ネイル,18,,中分類
41,ヘアケア,18,,中分類
42,シャンプー・トリートメント,18,41,小分類
43,ヘアセット・整髪料,18,41,小分類
44,育毛・増毛（ヘアケア）,18,41,小分類
45,カラー・白髪染め,18,41,小分類
46,ボディケア,18,,中分類
47,クリーム・ボディシャンプー,18,46,小分類
48,アロマ,18,46,小分類
49,コンプレックス,18,46,小分類
50,クリニック,18,,中分類
51,美容整形・脂肪吸引,18,50,小分類
52,美肌,18,50,小分類
53,育毛・増毛（クリニック）,18,50,小分類
54,美容機器,18,,中分類
55,脱毛（美容機器）,18,54,小分類
56,美顔器,18,54,小分類
57,美容食品,18,,中分類
58,サプリ,18,57,小分類
59,飲料・食品,18,57,小分類
60,その他（美容）,18,,中分類
61,グルメ・食品,,,大分類
62,グルメ予約,61,,中分類
63,飲料,61,,中分類
64,ウォーターサーバー,61,63,小分類
