"得意先コード","得意先名略称","郵便番号","住所１","住所２","住所３","電話番号","FAX番号","締日","入金日","入金サイクル","入金条件","作成日時","作成者","更新日時","更新者"
"292","ホソカワミクロン化粧品(DAIWA)","","","","","","","0","0","","","2022/07/09 21:20","k.susa","2022/07/09 21:20","k.susa"
"291","DAIWA","541-0081","大阪府大阪市中央区南船場1-11-9","","","06-6260-4655","06-6260-4691","30","30","翌月","振込","2022/07/09 21:20","k.susa","2022/07/09 21:20","k.susa"
"290","エコスマート","110-0015","東京都台東区東上野3-3-3","プラチナビルB1階","","03-6895-7775","03-6895-7776","30","30","翌月","振込","2022/06/17 13:23","k.susa","2022/06/17 13:23","k.susa"
"289","エーザイ","112-8088","東京都文京区小石川4-6-10","","","03-3817-3700","","30","30","翌月","振込","2022/06/17 13:23","k.susa","2022/06/17 13:23","k.susa"
"287","森永乳業（T&J Marketing）","","","","","","","0","0","","","2022/06/08 21:14","k.susa","2022/06/08 21:14","k.susa"
"288","やまちや","600-8177","京都府京都市下京区烏丸通五条下ル大坂町400","三善ビル6階","","075-353-8088","075-353-8111","30","30","翌月","振込","2022/06/07 19:15","k.susa","2022/06/07 19:15","k.susa"
"285","富士産業","763-8603","香川県丸亀市田村町1301","","","0877-25-3111","","30","30","翌月","振込","2022/06/01 14:48","k.susa","2022/06/01 14:48","k.susa"
"910","大阪支社（粗利シェア）","","","","","","","30","30","翌月","振込","2022/05/31 20:01","k.susa","2022/05/31 20:01","k.susa"
"909","福岡支社（粗利シェア）","","","","","","","30","30","翌月","振込","2022/05/31 20:01","k.susa","2022/05/31 20:01","k.susa"
"908","ｵﾌﾗｲﾝ・ﾒﾃﾞｨｱ（粗利シェア）","","","","","","","30","30","翌月","振込","2022/05/31 20:01","k.susa","2022/05/31 20:01","k.susa"
"907","プロデュース部（粗利シェア）","","","","","","","30","30","翌月","振込","2022/05/31 20:01","k.susa","2022/05/31 20:01","k.susa"
"906","ｱﾗｲｱﾝｽ・ﾒﾃﾞｨｱ（粗利シェア）","","","","","","","30","30","翌月","振込","2022/05/31 20:01","k.susa","2022/05/31 20:01","k.susa"
"284","ベータ食品","531-0076","大阪府大阪市北区大淀中1丁目16番10号","高石ビル5階","","06-6345-6222","06-6345-6223","30","30","翌月","振込","2022/05/31 18:46","k.susa","2022/05/31 18:46","k.susa"
"283","日健協サービス","369-0134","埼玉県鴻巣市三町免12","","","048-580-6108","","30","30","翌月","振込","2022/05/28 19:30","k.susa","2022/05/28 19:30","k.susa"
"282","pupu","810-0011","福岡県福岡市中央区高砂1-11-1","","","092-753-6635","","30","30","翌月","振込","2022/05/28 19:30","k.susa","2022/05/28 19:30","k.susa"
"281","健幸わかば","680-0007","鳥取県鳥取市湯所町2丁目233番地2","","","0857-36-8288","0857-36-8285","30","30","翌月","振込","2022/05/28 19:30","k.susa","2022/05/28 19:30","k.susa"
"280","富士ﾌｨﾙﾑﾍﾙｽｹｱﾗﾎﾞﾗﾄﾘｰ（新東通信）","","","","","","","0","0","","","2022/05/28 19:30","k.susa","2022/05/28 19:30","k.susa"
"279","新東通信","104-0061","東京都中央区銀座4丁目2番15号","塚本巣山ビル4階","","03-3538-8011","03-3538-7757","30","30","翌月","振込","2022/05/28 19:30","k.susa","2022/05/28 19:30","k.susa"
"278","東急モールズデベロップメント","194-8589","東京都町田市鶴間3-4-1","グランベリーパーク3F マネージメントオフィス","","042-850-7481","","30","30","翌月","振込","2022/05/28 19:30","k.susa","2022/05/28 19:30","k.susa"
"277","メビウス製薬","107-0052","東京都港区赤坂2-5-1","S-GATE赤坂山王6F","","03-6804-2595","03-6804-2003","30","30","翌月","振込","2022/05/28 19:30","k.susa","2022/05/28 19:30","k.susa"
"276","リフレ","362-8688","埼玉県上尾市宮本町4-2","","","048-774-4011","048-774-0854","30","30","翌月","振込","2022/05/28 19:30","k.susa","2022/05/28 19:30","k.susa"
